month,sex,reportType,n,prop
Jan,F,Garbage,32661,0.027650413304301
Jan,F,WaterShortage,22074,0.0186875852937491
Jan,F,Crime,18368,0.0155501298666116
Jan,F,Accident,14874,0.0125921511125861
Jan,F,Electricity,10201,0.00863604501139508
Feb,F,Garbage,36901,0.0296201340816562
Feb,F,Crime,23715,0.0190358385882897
Feb,F,WaterShortage,20900,0.0167762608684484
Feb,F,Accident,14561,0.0116879968662908
Feb,F,Electricity,9889,0.00793782027407113
Mar,F,Garbage,39454,0.0283767212206867
Mar,F,Crime,31611,0.0227357564380576
Mar,F,WaterShortage,21654,0.0155743276046218
Mar,F,Accident,15032,0.0108115494852071
Mar,F,Electricity,10013,0.00720170602683468
4,F,Garbage,39620,0.0276053892520138
4,F,Crime,38437,0.0267811293962558
4,F,WaterShortage,21595,0.0150464003255234
4,F,Accident,14785,0.0103015063122419
4,F,Electricity,9799,0.00682749140031507
5,F,Crime,38411,0.0281104982403037
5,F,Garbage,36872,0.0269842048141543
5,F,WaterShortage,19757,0.0144588558937201
5,F,Accident,13378,0.00979048307669114
5,F,Electricity,8693,0.00636183804647003
6,F,Crime,41464,0.0308041820109342
6,F,Garbage,35840,0.0266260342290151
6,F,WaterShortage,18383,0.0136569862508924
6,F,Accident,12328,0.00915864257743577
6,F,Electricity,8300,0.00616618538227749
7,F,Crime,52708,0.0326804234293612
7,F,Garbage,46295,0.028704185373421
7,F,WaterShortage,19714,0.012223227356121
7,F,Accident,12796,0.00793387527893499
7,F,Electricity,8852,0.00548848577439298
8,F,Crime,99680,0.0548360886157353
8,F,Garbage,51274,0.0282069182151205
8,F,WaterShortage,18962,0.0104313996020423
8,F,Accident,12751,0.00701459636776927
8,F,Electricity,8978,0.00493898880008098
9,F,Crime,96211,0.0552115905834257
9,F,Garbage,46135,0.0264750052651604
9,F,WaterShortage,16622,0.00953869161195395
9,F,Accident,11326,0.00649953201762667
9,F,Electricity,8305,0.00476590264933688
10,F,Crime,91010,0.0518428093664536
10,F,Garbage,46337,0.0263953440019049
10,F,WaterShortage,14946,0.00851381857807951
10,F,Accident,10406,0.00592765931510072
10,F,Electricity,7709,0.00439134399962632
11,F,Crime,80439,0.0457319621154536
11,F,Garbage,47952,0.0272621371145866
11,F,WaterShortage,13614,0.00773996360272735
11,F,Accident,9555,0.00543230147084324
11,F,Electricity,7060,0.0040138198204242
12,F,Crime,73947,0.0400434945769865
12,F,Garbage,56433,0.0305593807654547
12,F,WaterShortage,12820,0.00694223701403664
12,F,Accident,9082,0.00491804965378165
12,F,Electricity,6945,0.00376082964605963
